sprocCR40.txt	sprocCR43.txt
RP11-82D16	-0.077698	0.007389
RP11-62M23	0.001834	-0.01455
RP11-111O5	0.007465	-0.03727
RP11-51B4	-0.009605	0.04372
RP11-60J11	0.025567	-0.036908
RP11-813J5	-0.039176	0.096777
RP11-199O1	0.061068	0.017278
RP11-188F7	-0.010831	-0.058398
RP11-178M15	0.035897	-0.021299
RP11-219F4	-0.022212	-0.005092
RP11-265F14	0.067953	-0.050099
RP11-145C4	0.008778	-0.069357
RP11-224F8	-0.08913	-0.074885
CTD-2128D14	-0.058736	0.003134
RP11-139H5	-0.075914	-0.015009
RP11-72I19	0.090095	0.028827
RP11-57F20	0.016714	-0.057898
RP11-285H13	0.028006	-0.033147
RP11-4O6	-0.027867	-0.075319
CTD-2051J11	-0.011624	-0.107238
RMC01P057	-0.116518	-0.165832
RP11-62B23	-1.6e-05	-0.093964
RP11-104J13	0.056658	-0.120601
RP11-4P6	-0.001608	0.000558
RP11-51A20	-0.076855	-0.045451
RP11-161A11	-0.11397	-0.066334
RP11-118E3	-0.050006	-0.103644
RP11-219O7	0.009576	-0.065336
RP11-207P5	-0.053738	-0.045822
RMC01P52	-0.030491	-0.064907
RP11-88O2	-0.044656	0.001651
RP11-253M24	-0.039305	-0.021266
RP11-235B24	-0.072964	-0.009868
RP11-195G13	0.023669	-0.046889
RP11-55M23	-0.012063	-0.026111
RP11-149K24	0.066386	-0.039492
RP11-12L18	-0.027658	-0.044598
CTD-2001C15	0.227032	-0.04468
RP11-8F24	0.110301	-0.019812
RP11-110A23	0.012335	-0.085368
RP11-69G14	0.05523	0.009174
RP11-30A5	0.098947	0.012446
RP11-265C4	0.155193	0.016212
RP11-246N19	0.080751	-0.040205
CTD-2010C4	0.051779	0.013529
RP11-111N18	-0.02595	0.010022
RP11-114K16	0.089211	-0.008772
RP11-80G24	-0.068334	-0.08589
RP11-198H14	-0.003141	0.014472
RP11-267M21	-0.043114	-0.081841
RP11-89A19	-0.05753	0.017292
RP11-246O4	-0.027847	-0.029353
RP11-78E18	0.010218	-0.04166
RP11-254E16	-0.071305	-0.092455
RP11-211D4	0.070239	-0.032881
RP11-125P20	0.031642	-0.04607
CTD-2229N1	-0.19602	-0.08718
RP11-156M23	0.076649	-0.021409
RP11-138K16	0.030822	0.008679
RP11-156G15	0.109219	0.0011
RP11-182H2	0.141472	0.049319
RP11-178M11	0.025744	0.000665
RP11-96F24	0.019462	-0.052277
CTD-2050A15	-0.018205	-0.06683
RP11-260A24	0.051706	0.070645
RP11-284N8	-0.003237	-0.095546
RP11-150K20	0.000539	0.117487
RP11-82A16	0.173699	0.117693
RP11-72M14	0.123614	0.050705
RP11-254K1	0.04914	0.067998
GS-249B10	-0.001359	0.0904
RP11-130B18	0.053745	0.001099
RP11-192J8	0.060683	0.038011
RP11-29M22	0.172189	0.09646
RP11-105E14	0.089099	0.055388
RP11-30I17	-0.018492	0.02071
CTD-2077L2	-0.121907	-0.039577
RP11-71L20	0.184659	0.115279
RP11-137M19	0.019081	0.011118
RP11-97G24	0.11959	0.06892
RP11-8D14	0.011913	-0.020518
RP11-260G23	0.175107	0.098896
CTD-2096I16	-0.032344	-0.056504
RP11-193J5	0.078093	0.061955
RP11-234M3	-0.086194	0.04493
RP11-28D10	0.001605	0.005477
RP11-167M6	-0.001499	0.03546
RP11-249C5	0.073371	-0.016042
RP11-171H24	0.106995	0.07391
RP11-184N12	0.135359	0.112976
RP11-165A8	-0.034881	0.019067
CTD-2084F3	0.044952	0.070729
RP11-177M16	-0.010538	0.039601
RP11-137N24	0.05338	0.013452
RP11-196B7	-0.016317	0.080021
RP11-212K9	0.054295	0.060288
GS-229A1	-0.114341	-0.028698
RP11-118P13	-0.059599	0.079851
RP11-162L13	0.134566	0.085608
RP11-134C1	0.223949	0.111793
RP11-154A22	0.041657	0.076166
RP11-249C10	0.079343	0.048933
RP11-150L7	0.133918	0.082029
RP11-246J15	0.083859	0.05329
RP11-65I22	-0.1579	0.048704
RP11-148K15	-0.01614	-0.006999
RP11-249H15	0.107396	0.012586
RP11-219P13	0.155067	0.092309
RP11-57I17	0.187491	0.129625
RP11-45F21	0.025917	0.057836
RP11-167J2	-0.078024	0.06209
RP11-104A2	-0.020588	0.054815
RP11-123O6	0.173273	0.14997
RP11-216F1	0.031455	-0.019952
RP11-193P21	0.072503	0.05575
RP11-74E6	0.021662	-0.004504
RP11-124A11	0.049132	0.003868
RP11-131M16	-0.081321	-0.019338
RP11-66M7	-0.044805	-0.03629
RP11-260A10	-0.005806	-0.049079
CTD-2064P10	-2.4315	0.003841
RP11-211K12	-0.266204	-0.051503
RP11-149C8	0.078114	0
CTD-2235K13	-0.002449	-0.002748
RP11-192M1	-0.018936	-0.055951
RP11-210E16	0.007962	0.056666
RP11-155C15	-0.000945	0.03688
CTD-2159A18	0.078534	0.043262
RP11-130I13	-0.082235	-0.02928
RP11-210F8	0.049114	-0.024202
RP11-194F13	0.123975	0.06005
RP11-212E22	0.028018	-0.005926
RP11-188A4	-0.23857	-0.043189
GS1-167K11	-0.185774	-0.126652
GS1-8L3	-0.11303	-0.188889
RP11-200F14	0.055303	0.05997
RP11-185P14	-0.012798	-0.0185
RP11-87J7	0.084228	0.027577
RP11-81F24	0.032278	0.088194
RP1-254N16	-0.035771	-0.007086
RP11-111J6	0.019071	-0.030952
RP11-171A13	0.104273	0.015883
RP11-57F9	0.04127	-0.013136
RP11-72H12	-0.01128	-0.030966
RP11-71J7	-0.057474	-0.025142
RP11-77G15	0.044039	0.085975
RP11-163N23	-0.018532	0.105722
RP11-163N11	0.069044	0.042765
RP11-128C5	0.031625	0.014379
RP11-119J12	0.072077	0.079312
RP11-180L21	-0.098904	-0.010001
RP11-81L7	-0.022833	-0.002337
GS-274P9	0.001691	0.02828
RP11-24P23	0.015076	0.10332
RP11-87C16	0.107367	-0.05099
RP11-63D13	0.02199	0.140055
RP11-113N17	0.052936	0.041738
RP11-82B19	0.048194	-0.004961
RP11-84M16	0.073247	0.080318
RP11-67L23	-0.026183	0.023332
RP11-8C18	0.025348	0.101589
RP11-95H5	0.03824	-0.024158
RP11-218F21	-0.015659	-0.017891
CTD-2024C11	-0.060888	-0.10346
